team	player	faction	list	objective	wrname	tcname	id	cost
Italy Michelangelo	Marco 'Rainulf' Elitropi	protectorate	Severius2	NA	(Severius 2) Hierarch Severius [+26]	Severius2 (Hierarch Severius)	PW14	26
Italy Michelangelo	Marco 'Rainulf' Elitropi	protectorate	High Reclaimer1	NA	(High Reclaimer 1) The High Reclaimer [+32]	High Reclaimer1 (The High Reclaimer)	PW02	32
Italy Michelangelo	Emiliano 'BernieLomax' Traversi	legion	Lylyth3	NA	(Lylyth 3) Lylyth, Reckoning of Everblight [+29]	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Italy Michelangelo	Emiliano 'BernieLomax' Traversi	legion	Thagrosh1	NA	(Thagrosh 1) Thagrosh, Prophet of Everblight [+28]	Thagrosh1 (Thagrosh Prophet of Everblight)	EW02	28
Latvia	Eduard Berdjugin	legion	Lylyth3	Arcane Wonder - Steamroller Objective	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Latvia	Eduard Berdjugin	legion	Absylonia2	NA	Absylonia, Daughter of Everblight - WB: +28	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
Latvia	Sergei Lakissov	mercenaries	Cyphon1	NA	Cognifex Cyphon - WJ: +29	Cyphon1 (Cognifex Cyphon)	MW12	29
Latvia	Sergei Lakissov	mercenaries	Thexus1	NA	Exulon Thexus - WJ: +29	Thexus1 (Exulon Thexus)	MW11	29
Latvia	Dmitri Petchonkin	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Latvia	Dmitri Petchonkin	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Latvia	Aleksandr Blumental	khador	Vladimir2	NA	Vladimir Tzepesci, The Dark Champion - WJ: +27	 Vladimir2 (Vladimir Tzepesci The Dark Champion)	KW13	27
Latvia	Aleksandr Blumental	khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Latvia	Andrei Isaev	cygnar	Kara Sloan1	NA	Captain Kara Sloan - WJ: +28	Kara Sloan1 (Captain Kara Sloan)	YW08	28
Latvia	Andrei Isaev	cygnar	Caine2	NA	Captain Allister Caine - WJ: +27	Caine2 (Captain Allister Caine)	YW14	27
Middle East	Joseph Hanna	skorne	Xerxis1	Arcane Wonder - Steamroller Objective	Tyrant Xerxis - WB: +28	 Xerxis1 (Tyrant Xerxis)	SW04	28
Middle East	Joseph Hanna	skorne	Hexeris2	Arcane Wonder - Steamroller Objective	Lord Arbiter Hexeris - WB: +27	 Hexeris2 (Lord Arbiter Hexeris)	SW12	27
Middle East	Eric Liu	cryx	Witch Coven	NA	The Witch Coven of Garlghast - WJ: +26	Witch Coven (The Witch Coven of Garlghast & Egregore)	CW06	26
Middle East	Eric Liu	cryx	Asphyxious3	NA	Asphyxious the Hellbringer - WJ: +24	Asphyxious3 (Asphyxious the Hellbringer & Vociferon)	CW16	24
Middle East	Josh Blakemore	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Middle East	Josh Blakemore	protectorate	Vindictus1	NA	Vice Scrutator Vindictus - WJ: +29	Vindictus1 (Vice Scrutator Vindictus)	PW08	29
Middle East	Andy Powell	minions	Calaban1	NA	Calaban, The Grave Walker - WB: +29	 Calaban1 (Calaban the Grave Walker)	IW03	29
Middle East	Andy Powell	minions	Rask1 	NA	Rask - WB: +27	 Rask1 	IW10	27
Middle East	Bryce Geeraert	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Middle East	Bryce Geeraert	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Netherlands Vermeer	Marc de Ruiter	retribution	Issyria1	NA	Issyria, Sibyl of Dawn - WJ: +29	 Issyria1 (Issyria Sibyl of Dawn)	RW07	29
Netherlands Vermeer	Marc de Ruiter	retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard - WJ: +27	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Netherlands Vermeer	Maarten Koopmans	skorne	Xerxis1	NA	Tyrant Xerxis - WJ: +28	 Xerxis1 (Tyrant Xerxis)	SW04	28
Netherlands Vermeer	Maarten Koopmans	skorne	Mordikaar1	NA	Void Seer Mordikaar - WJ: +29	 Mordikaar1 (Void Seer Mordikaar)	SW06	29
Netherlands Vermeer	Michael Boom	protectorate	Severius2	NA	(Severius 2) Hierarch Severius [+26]	Severius2 (Hierarch Severius)	PW14	26
Netherlands Vermeer	Michael Boom	protectorate	Amon1	NA	(Amon 1) High Allegiant Amon Ad-Raza [+29]	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Netherlands Vermeer	Marnix Baas	khador	Butcher3	NA	(Butcher 3) Kommander Zoktavir, The Butcher Unleashed [+22]	 Butcher3 (Kommander Zoktavir The Butcher Unleashed)	KW16	22
Netherlands Vermeer	Marnix Baas	khador	Irusk2	NA	(Irusk 2) Supreme Kommandant Irusk [+27]	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Netherlands Vermeer	Michiel Smits	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Netherlands Vermeer	Michiel Smits	trollbloods	Hoarluk2	NA	Hoarluk Doomshaper, Rage of Dhunia - WB: +27	Hoarluk2 (Hoarluk Doomshaper Rage of Dhunia)	TW11	27
Netherlands Rembrandt	Vincent van der Bijl	cryx	Asphyxious3	NA	Asphyxious the Hellbringer - WJ: +24	Asphyxious3 (Asphyxious the Hellbringer & Vociferon)	CW16	24
Netherlands Rembrandt	Vincent van der Bijl	cryx	Terminus1	NA	Lich Lord Terminus - WJ: +26	Terminus1 (Lich Lord Terminus)	CW04	26
Netherlands Rembrandt	William Bekkema	convergence	Axis	NA	Axis, The Harmonic Enforcer - WJ: +30	Axis (Axis the Harmonic Enforcer)	COCW02	30
Netherlands Rembrandt	William Bekkema	convergence	Lucant	NA	Father Lucant, The Divinity Architect - WJ: +28	Lucant (Father Lucant Divinity Architect)	COCW04	28
Netherlands Rembrandt	Dave den Ouden	trollbloods	Calandra	NA	Calandra Truthsayer, Oracle of the Glimmerwood - WB: +27	Calandra (Calandra Truthsayer Oracle of the Glimmerwood)	TW06	27
Netherlands Rembrandt	Dave den Ouden	trollbloods	Hoarluk1	NA	Hoarluk Doomshaper, Shaman of the Gnarls - WB: +29	Hoarluk1 (Hoarluk Doomshaper Shaman of the Gnarls)	TW02	29
Netherlands Rembrandt	Anjo Brand	retribution	Issyria1	NA	Issyria, Sibyl of Dawn - WJ: +29	 Issyria1 (Issyria Sibyl of Dawn)	RW07	29
Netherlands Rembrandt	Anjo Brand	retribution	Vyros1	NA	Dawnlord Vyros - WJ: +28	 Vyros1 (Dawnlord Vyros)	RW02	28
Netherlands Rembrandt	Tom Starren	khador	Karchev1	NA	Karchev the Terrible - WJ: +30	 Karchev1 (Karchev the Terrible)	KW05	30
Netherlands Rembrandt	Tom Starren	khador	Sorscha1	NA	Kommander Sorscha - WJ: +29	 Sorscha1 (Kommander Sorscha)	KW02	29
Netherlands VanGogh	Sietse Sommeling	retribution	Issyria1	NA	Issyria, Sibyl of Dawn - WJ: +29	 Issyria1 (Issyria Sibyl of Dawn)	RW07	29
Netherlands VanGogh	Sietse Sommeling	retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard - WJ: +27	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Netherlands VanGogh	Paul de Geus	legion	Lylyth1	NA	Lylyth, Herald of Everblight - WB: +30	Lylyth1 (Lylyth Herald of Everblight)	EW01	30
Netherlands VanGogh	Paul de Geus	legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Netherlands VanGogh	Frederik Punt	minions	Rask1 	NA	Rask - WB: +27	 Rask1 	IW10	27
Netherlands VanGogh	Frederik Punt	minions	Barnabas 1	NA	Bloody Barnabas - WB: +28	Barnabas 1 (Bloody Barnabas)	IW02	28
Netherlands VanGogh	Casper Jellema	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Netherlands VanGogh	Casper Jellema	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Netherlands VanGogh	Georg Buscha	retribution	Kaelyssa1	NA	Kaelyssa, The Night's Whisper - WJ: +29	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
Netherlands VanGogh	Georg Buscha	retribution	Helynna1	NA	Magister Helynna - WJ: +30	 Helynna1 (Magister Helynna)	RW09	30
Northern Ireland	ANDY BEATTIE	circle	Kromac1	NA	Kromac the Ravenous - WB: +26	Kromac1 (Kromac the Ravenous)	OW05	26
Northern Ireland	ANDY BEATTIE	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Northern Ireland	ADAM FOX	skorne	Xerxis1	NA	Tyrant Xerxis - WB: +28	 Xerxis1 (Tyrant Xerxis)	SW04	28
Northern Ireland	ADAM FOX	skorne	Naaresh1	NA	Master Ascetic Naaresh - WB: +32	 Naaresh1 (Master Ascetic Naaresh)	SW08	32
Northern Ireland	GERARD O’Brien	cryx	Goreshade1	NA	Goreshade the Bastard - WJ: +27	Goreshade1 (Goreshade the Bastard)	CW05	27
Northern Ireland	GERARD O’Brien	cryx	Agathia1	NA	Bane Witch Agathia - WJ: +29	Agathia1 (Bane Witch Agathia)	CW11	29
Northern Ireland	IAN ALDERDICE (Captain)	minions	Arkadius1	NA	Dr. Arkadius - WB: +32	 Arkadius1 (Dr. Arkadius)	IW04	32
Northern Ireland	IAN ALDERDICE (Captain)	minions	Rask1 	NA	Rask - WB: +27	 Rask1 	IW10	27
Northern Ireland	JONATHON GRAHAM	protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
Northern Ireland	JONATHON GRAHAM	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Norway Blue	Endre Fodstad	convergence	Lucant	Arcane Wonder - Steamroller Objective	Father Lucant, The Divinity Architect - WJ: +28	Lucant (Father Lucant Divinity Architect)	COCW04	28
Norway Blue	Endre Fodstad	convergence	Iron Mother Directrix	Arcane Wonder <e2><80><93> Steamroller Objective	Iron Mother Directrix & Exponent Servitors - WJ: +27	Iron Mother Directrix (Iron Mother Directrix & Exponent Servitors)	COCW03	27
Norway Blue	Martin Andre Røhme	legion	Vayl2	Arcane Wonder <e2><80><93> Steamroller Objective	Vayl, Consul of Everblight - WB: +28	Vayl2 (Vayl Consul of Everblight)	EW12	28
Norway Blue	Martin Andre Røhme	legion	Absylonia2	NA	Absylonia, Daughter of Everblight - WB: +28	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
Norway Blue	Asbjørn Willarsrud	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Norway Blue	Asbjørn Willarsrud	circle	Kromac2	NA	Kromac, Champion of the Wurm - WB: +28	Kromac2 (Kromac Champion of the Wurm)	OW10	28
Norway Blue	Leif Henning Bøhli	khador	Butcher3	NA	Kommander Zoktavir, the Butcher Unleashed - WJ: +22	 Butcher3 (Kommander Zoktavir The Butcher Unleashed)	KW16	22
Norway Blue	Leif Henning Bøhli	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Norway Blue	Mats Aubell	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Norway Blue	Mats Aubell	trollbloods	Calandra	NA	Calandra Truthsayer, Oracle of the Glimmerwood - WB: +27	Calandra (Calandra Truthsayer Oracle of the Glimmerwood)	TW06	27
Norway Red	Gard Andresen	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28 (Fuel Cache)	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Norway Red	Gard Andresen	retribution	Kaelyssa1	NA	Kaelyssa, The Night's Whisper - WJ: +29 (Fuel Cache)	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
Norway Red	Jarle Svendsrud	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25 (Fuel Cache)	Haley2 (Major Victoria Haley)	YW12	25
Norway Red	Jarle Svendsrud	cygnar	Haley3	NA	Major Prime Victoria Haley - WJ: +25 (Bunker)	Haley3 (Major Prime Victoria Haley)	YW16	25
Norway Red	Terje Boye	khador	Butcher3	NA	Kommander Zoktavir, the Butcher Unleashed - WJ: +22 (Stockpile)	 Butcher3 (Kommander Zoktavir The Butcher Unleashed)	KW16	22
Norway Red	Terje Boye	khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28 (Fuel Cache)	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Norway Red	Jakub Grzegorzek	protectorate	Vindictus1	NA	Vice Scrutator Vindictus - WJ: +29 (Fuel Cache)	Vindictus1 (Vice Scrutator Vindictus)	PW08	29
Norway Red	Jakub Grzegorzek	protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32 (Fuel Cache)	High Reclaimer1 (The High Reclaimer)	PW02	32
Norway Red	Jonas Brand	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27 (Fuel Cache)	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Norway Red	Jonas Brand	circle	Kromac1	NA	Kromac the Ravenous - WB: +26 (Fuel Cache)	Kromac1 (Kromac the Ravenous)	OW05	26
Poland Wisents	Marcin 'Herudaio' Mycek - Mercenaries	mercenaries	Magnus2	NA	Magnus the Warlord - WJ: +28	Magnus2 (Magnus the Warlord)	MW13	28
Poland Wisents	Marcin 'Herudaio' Mycek - Mercenaries	mercenaries	Ossrum1	NA	General Ossrum - WJ: +28	Ossrum1 (General Ossrum)	MW10	28
Poland Wisents	Tomasz 'Tutaj' Tutaj - Protectorate of Menoth	protectorate	Vindictus1	NA	Vice Scrutator Vindictus - WJ: +29	Vindictus1 (Vice Scrutator Vindictus)	PW08	29
Poland Wisents	Tomasz 'Tutaj' Tutaj - Protectorate of Menoth	protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
Poland Wisents	Konrad 'Kondziólo' Sosnowski - Cryx	cryx	Asphyxious3	NA	Asphyxious the Hellbringer - WJ: +24	Asphyxious3 (Asphyxious the Hellbringer & Vociferon)	CW16	24
Poland Wisents	Konrad 'Kondziólo' Sosnowski - Cryx	cryx	Witch Coven	NA	The Witch Coven of Garlghast - WJ: +26	Witch Coven (The Witch Coven of Garlghast & Egregore)	CW06	26
Poland Wisents	Jakub 'Sliski' Irzyk - Cygnar	cygnar	Kara Sloan1	NA	Captain Kara Sloan - WJ: +28	Kara Sloan1 (Captain Kara Sloan)	YW08	28
Poland Wisents	Jakub 'Sliski' Irzyk - Cygnar	cygnar	Stryker2	NA	Lord Commander Stryker - WJ: +28	Stryker2 (Lord Commander Stryker)	YW13	28
Poland Wisents	Artur 'Chomik' Rietz - Circle Orboros	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Poland Wisents	Artur 'Chomik' Rietz - Circle Orboros	circle	Krueger1	NA	Krueger the Stormwrath - WB: +28	Krueger1 (Krueger the Stormwrath)	OW12	28
Poland Storks	Karol Sosnowski	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Poland Storks	Karol Sosnowski	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Poland Storks	Adam Szyma?ski	cygnar	Stryker1	NA	Commander Coleman Stryker - WJ: +30	Stryker1 (Commander Coleman Stryker)	YW02	30
Poland Storks	Adam Szyma?ski	cygnar	Stryker2	NA	Lord Commander Stryker - WJ: +28	Stryker2 (Lord Commander Stryker)	YW13	28
Poland Storks	Piotr Gotowiec	khador	Sorscha1	NA	Kommander Sorscha - WJ: +29	 Sorscha1 (Kommander Sorscha)	KW02	29
Poland Storks	Piotr Gotowiec	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Poland Storks	Mateusz Dziewanowski	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Poland Storks	Mateusz Dziewanowski	retribution	Helynna1	NA	Magister Helynna - WJ: +30	 Helynna1 (Magister Helynna)	RW09	30
Poland Storks	Andrzej Reszelski	protectorate	Amon1	NA	High Allegiant Amon Ad-Raza - WJ: +29	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Poland Storks	Andrzej Reszelski	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Poland Marmots	Rafa? Anusiak	mercenaries	Ossrum1	NA	General Ossrum - WJ: +28	Ossrum1 (General Ossrum)	MW10	28
Poland Marmots	Rafa? Anusiak	mercenaries	Bartolo1 	NA	Captain Bartolo Montador - WJ: +26	Bartolo1  (Captain Bartolo Montador)	MW06	26
Poland Marmots	Mateusz Szulc	mercenaries	Gorten1	NA	Gorten Grundback - WJ: +31	Gorten1 (Gorten Grundback)	MW02	31
Poland Marmots	Mateusz Szulc	mercenaries	Magnus2	NA	Magnus the Warlord - WJ: +28	Magnus2 (Magnus the Warlord)	MW13	28
Poland Marmots	Jaromir Skirmuntt	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Poland Marmots	Jaromir Skirmuntt	retribution	Kaelyssa1	NA	Kaelyssa, The Night's Whisper - WJ: +29	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
Poland Marmots	Wiktor Har??lak	cryx	Skarre1	NA	Pirate Queen Skarre - WJ: +28	Skarre1 (Pirate Queen Skarre)	CW03	28
Poland Marmots	Wiktor Har??lak	cryx	Asphyxious3	NA	Asphyxious the Hellbringer - WJ: +24	Asphyxious3 (Asphyxious the Hellbringer & Vociferon)	CW16	24
Poland Marmots	Adam Szugajew	khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Poland Marmots	Adam Szugajew	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Portugal Primal	Alberto 'Velvet' Santos	khador	Sorscha1	NA	Kommander Sorscha - WJ: +29	 Sorscha1 (Kommander Sorscha)	KW02	29
Portugal Primal	Alberto 'Velvet' Santos	khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Portugal Primal	André Valentim	retribution	Issyria1	NA	Issyria, Sibyl of Dawn - WJ: +29	 Issyria1 (Issyria Sibyl of Dawn)	RW07	29
Portugal Primal	André Valentim	retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard - WJ: +27	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Portugal Primal	Bruno Settimelli	trollbloods	Ragnor	NA	Ragnor Skysplitter, the Runemaster - WB: +30	Ragnor (Ragnor Skysplitter The Runemaster)	TW09	30
Portugal Primal	Bruno Settimelli	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Portugal Primal	João Isidro	circle	Baldur1	NA	Baldur the Stonecleaver - WB: +31	Baldur1 (Baldur the Stonecleaver)	OW03	31
Portugal Primal	João Isidro	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Portugal Primal	Luís Leite	protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
Portugal Primal	Luís Leite	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Portugal Prime	João Morais	skorne	Makeda3	NA	(Makeda 3) Makeda & the Exalted Court [+24]	 Makeda3 (Makeda & the Exalted Court)	SW15	24
Portugal Prime	João Morais	skorne	Rasheth1	NA	(Rasheth 1) Dominar Rasheth [+28]	 Rasheth1 (Dominar Rasheth)	SW07	28
Portugal Prime	Nuno Sequeira	cryx	Terminus1	NA	(Terminus 1) Lich Lord Terminus [+26]	Terminus1 (Lich Lord Terminus)	CW04	26
Portugal Prime	Nuno Sequeira	cryx	Scaverous1	NA	(Scaverous 1) Lord Exhumator Scaverous [+27]	Scaverous1 (Lord Exhumator Scaverous)	CW09	27
Portugal Prime	Paulo Morais	cygnar	Haley1	NA	(Haley 1) Captain Victoria Haley [+28]	Haley1 (Captain Victoria Haley)	YW01	28
Portugal Prime	Paulo Morais	cygnar	Haley2	NA	(Haley 2) Major Victoria Haley [+25]	Haley2 (Major Victoria Haley)	YW12	25
Portugal Prime	Salvador Caetano	cryx	Asphyxious3	NA	(Asphyxious 3) Asphyxious the Hellbringer [+24]	Asphyxious3 (Asphyxious the Hellbringer & Vociferon)	CW16	24
Portugal Prime	Salvador Caetano	cryx	Deneghra1	NA	(Deneghra 1) Warwitch Deneghra [+28]	Deneghra1 (Warwitch Deneghra)	CW02	28
Portugal Prime	Vasco Oliveira	legion	Vayl2	NA	(Vayl 2) Vayl, Consul of Everblight [+28]	Vayl2 (Vayl Consul of Everblight)	EW12	28
Portugal Prime	Vasco Oliveira	legion	Vayl1	NA	(Vayl 1) Vayl, Disciple of Everblight [+27]	Vayl1 (Vayl Disciple of Everblight)	EW03	27
Russian Bears	Bogdan Novikov	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Russian Bears	Bogdan Novikov	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Russian Bears	Dmitry Khalansky	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Russian Bears	Dmitry Khalansky	cygnar	Kara Sloan1	NA	Captain Kara Sloan - WJ: +28	Kara Sloan1 (Captain Kara Sloan)	YW08	28
Russian Bears	Mikhail Novikov	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Russian Bears	Mikhail Novikov	protectorate	Amon1	NA	High Allegiant Amon Ad-Raza - WJ: +29	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Russian Bears	Andrei Ivanov	cryx	Deneghra1	NA	Warwitch Deneghra - WJ: +28	Deneghra1 (Warwitch Deneghra)	CW02	28
Russian Bears	Andrei Ivanov	cryx	Witch Coven	NA	The Witch Coven of Garlghast - WJ: +26	Witch Coven (The Witch Coven of Garlghast & Egregore)	CW06	26
Russian Bears	Andrei Ivanov	retribution	Issyria1	NA	Issyria, Sibyl of Dawn - WJ: +29	 Issyria1 (Issyria Sibyl of Dawn)	RW07	29
Russian Bears	Artem Volik	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Russian Wolves	Artem Volik	cygnar	Nemo1	NA	Commander Adept Nemo - WJ: +30	Nemo1 (Commander Adept Nemo)	YW04	30
Russian Wolves	Alexander Loginov	cygnar	Haley3	NA	Major Prime Victoria Haley - WJ: +25	Haley3 (Major Prime Victoria Haley)	YW16	25
Russian Wolves	Dmitrii Tochenov	retribution	Rahn1	NA	Adeptis Rahn - WJ: +26	 Rahn1 (Adeptis Rahn)	RW01	26
Russian Wolves	Dmitrii Tochenov	retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard - WJ: +27	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Russian Wolves	Yaroslav Karmannyy	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Russian Wolves	Yaroslav Karmannyy	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Russian Wolves	Konstantin Kruchinin	cygnar	Kara Sloan1	NA	Captain Kara Sloan - WJ: +28	Kara Sloan1 (Captain Kara Sloan)	YW08	28
Russian Wolves	Konstantin Kruchinin	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Russian Wolves	Aleksei Guk	retribution	Helynna1	NA	Magister Helynna - WJ: +30	 Helynna1 (Magister Helynna)	RW09	30
Russian Wolves	Aleksei Guk	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Scotland Bru	Frazer Penman	trollbloods	Ragnor	Arcane Wonder - Steamroller Objective	Ragnor Skysplitter, the Runemaster - WB: +30	Ragnor (Ragnor Skysplitter The Runemaster)	TW09	30
Scotland Bru	Frazer Penman	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Scotland Bru	Ross Harkin	khador	Karchev1	NA	Karchev the Terrible - WJ: +30	 Karchev1 (Karchev the Terrible)	KW05	30
Scotland Bru	Ross Harkin	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Scotland Bru	David Mace	legion	Absylonia2	NA	Absylonia, Daughter of Everblight - WB: +28	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
Scotland Bru	David Mace	legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Scotland Bru	Ian Campbell	circle	Kromac2	NA	Kromac, Champion of the Wurm - WB: +28	Kromac2 (Kromac Champion of the Wurm)	OW10	28
Scotland Bru	Ian Campbell	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Scotland Bru	Nicholas Joyce	mercenaries	Ossrum1	NA	General Ossrum - WJ: +28	Ossrum1 (General Ossrum)	MW10	28
Scotland Bru	Nicholas Joyce	mercenaries	Gorten1	NA	Gorten Grundback - WJ: +31	Gorten1 (Gorten Grundback)	MW02	31
Scotland Irn	Bryce Johnston	protectorate	Severius1	NA	Grand Scrutator Severius - WB: +28	Severius1 (Grand Scrutator Severius)	PW03	28
